"day";"y";"yprev";"n"
0;"Non-ICU ward";NA;386
0;"ICU";NA;7
1;"Non-ICU ward";"Non-ICU ward";284
1;"Non-ICU ward";"ICU";1
1;"ICU";"Non-ICU ward";102
1;"ICU";"ICU";6
2;"Non-ICU ward";"Non-ICU ward";281
2;"Non-ICU ward";"ICU";42
2;"ICU";"Non-ICU ward";4
2;"ICU";"ICU";66
3;"Non-ICU ward";"Non-ICU ward";300
3;"Non-ICU ward";"ICU";17
3;"ICU";"Non-ICU ward";23
3;"ICU";"ICU";52
3;"Dead";"ICU";1
4;"Non-ICU ward";"Non-ICU ward";314
4;"Non-ICU ward";"ICU";23
4;"ICU";"Non-ICU ward";3
4;"ICU";"ICU";52
4;"Dead";"Dead";1
5;"Non-ICU ward";"Non-ICU ward";332
5;"Non-ICU ward";"ICU";17
5;"ICU";"Non-ICU ward";5
5;"ICU";"ICU";38
5;"Dead";"Dead";1
6;"Discharged";"Non-ICU ward";3
6;"Non-ICU ward";"Non-ICU ward";341
6;"Non-ICU ward";"ICU";10
6;"ICU";"Non-ICU ward";5
6;"ICU";"ICU";33
6;"Dead";"Dead";1
7;"Discharged";"Discharged";3
7;"Discharged";"Non-ICU ward";5
7;"Non-ICU ward";"Non-ICU ward";345
7;"Non-ICU ward";"ICU";5
7;"ICU";"Non-ICU ward";1
7;"ICU";"ICU";32
7;"Dead";"ICU";1
7;"Dead";"Dead";1
8;"Discharged";"Discharged";8
8;"Discharged";"Non-ICU ward";9
8;"Non-ICU ward";"Non-ICU ward";337
8;"Non-ICU ward";"ICU";5
8;"ICU";"Non-ICU ward";4
8;"ICU";"ICU";28
8;"Dead";"Dead";2
9;"Discharged";"Discharged";17
9;"Discharged";"Non-ICU ward";19
9;"Non-ICU ward";"Non-ICU ward";318
9;"Non-ICU ward";"ICU";6
9;"ICU";"Non-ICU ward";5
9;"ICU";"ICU";26
9;"Dead";"Dead";2
10;"Discharged";"Discharged";35
10;"Discharged";"Non-ICU ward";13
10;"Non-ICU ward";"Discharged";1
10;"Non-ICU ward";"Non-ICU ward";306
10;"Non-ICU ward";"ICU";5
10;"ICU";"Non-ICU ward";5
10;"ICU";"ICU";25
10;"Dead";"ICU";1
10;"Dead";"Dead";2
11;"Discharged";"Discharged";47
11;"Discharged";"Non-ICU ward";20
11;"Non-ICU ward";"Discharged";1
11;"Non-ICU ward";"Non-ICU ward";291
11;"Non-ICU ward";"ICU";7
11;"ICU";"Non-ICU ward";1
11;"ICU";"ICU";23
11;"Dead";"Dead";3
12;"Discharged";"Discharged";66
12;"Discharged";"Non-ICU ward";12
12;"Non-ICU ward";"Discharged";1
12;"Non-ICU ward";"Non-ICU ward";282
12;"Non-ICU ward";"ICU";2
12;"ICU";"Non-ICU ward";3
12;"ICU";"ICU";22
12;"Dead";"Non-ICU ward";2
12;"Dead";"Dead";3
13;"Discharged";"Discharged";75
13;"Discharged";"Non-ICU ward";11
13;"Non-ICU ward";"Discharged";3
13;"Non-ICU ward";"Non-ICU ward";270
13;"Non-ICU ward";"ICU";4
13;"ICU";"Non-ICU ward";4
13;"ICU";"ICU";21
13;"Dead";"Dead";5
14;"Discharged";"Discharged";82
14;"Discharged";"Non-ICU ward";17
14;"Non-ICU ward";"Discharged";4
14;"Non-ICU ward";"Non-ICU ward";258
14;"Non-ICU ward";"ICU";4
14;"ICU";"Non-ICU ward";2
14;"ICU";"ICU";20
14;"Dead";"ICU";1
14;"Dead";"Dead";5
15;"Discharged";"Discharged";98
15;"Discharged";"Non-ICU ward";21
15;"Non-ICU ward";"Discharged";1
15;"Non-ICU ward";"Non-ICU ward";241
15;"Non-ICU ward";"ICU";8
15;"ICU";"Non-ICU ward";3
15;"ICU";"ICU";14
15;"Dead";"Non-ICU ward";1
15;"Dead";"Dead";6
16;"Discharged";"Discharged";116
16;"Discharged";"Non-ICU ward";28
16;"Non-ICU ward";"Discharged";3
16;"Non-ICU ward";"Non-ICU ward";221
16;"Non-ICU ward";"ICU";4
16;"ICU";"Non-ICU ward";1
16;"ICU";"ICU";13
16;"Dead";"Dead";7
17;"Discharged";"Discharged";140
17;"Discharged";"Non-ICU ward";19
17;"Non-ICU ward";"Discharged";4
17;"Non-ICU ward";"Non-ICU ward";207
17;"Non-ICU ward";"ICU";1
